Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G292,20.08106,7.605245,1.833337,5.028857,87.6657,30.32112,19.067142,69.77705,47.65679,1.406481,0.6244762,57.4901,9.7279,3.225365,83.33973,14.01308,26.79023,91.04272,14.61544,7.843964,31.43192,3.073635,34.32008
G293,25.37291,5.32721,2.434037,5.720444,79.82192,27.64671,11.965295,83.30831,52.54783,1.8707487,0.904457,54.02019,12.953404,4.099055,84.53054,1.478073,35.00305,91.51257,13.56727,6.765359,32.49324,3.203814,25.59461
G295,23.31748,6.441287,2.159475,5.452003,77.48006,27.87788,16.730129,72.01737,38.93332,1.2671264,0.9382594,60.23541,11.492686,3.725161,73.80309,1.415001,31.6224,79.93515,14.00164,5.849843,31.48654,3.15999,30.36678
G296,20.96936,7.92786,2.12597,5.167444,73.27784,29.65481,15.86028,63.07812,59.04306,1.6106368,1.3970378,57.87517,10.849727,3.699149,65.65409,3.173,29.54746,73.76825,14.0576,8.150652,29.9858,3.00696,32.63058
G297,21.00525,5.082069,1.93604,5.208326,71.1546,39.67021,10.892282,64.8037,54.02559,1.5873915,1.0172318,64.75459,10.258826,3.277607,69.66157,4.54063,28.4791,76.48498,15.71613,6.855515,29.9705,3.166286,25.60913
G298,21.09422,8.497992,1.757461,5.184155,73.69867,33.58989,25.264356,60.5213,58.73625,2.2230505,1.588998,63.03706,9.763881,3.028706,67.47949,6.53815,26.95274,72.90546,14.66066,5.25569,30.41582,3.239174,36.28055
G300,21.29525,5.655092,1.963566,5.210071,74.3068,30.05601,17.638631,59.71467,62.09474,2.0641243,1.1660644,56.55954,10.399697,3.356843,64.07161,4.381593,28.61603,71.29841,13.81118,7.083014,29.57774,3.154536,29.32959
G303,21.70223,6.626713,1.879931,5.259588,65.48759,30.658,20.124891,54.069,33.13261,1.1167169,1.123937,61.94489,10.274653,3.205728,57.27237,2.866963,28.36061,62.7619,14.41252,5.151656,34.07103,3.263092,30.7672
G305,19.64234,5.79946,1.878871,4.989201,73.75969,32.49891,15.31578,67.8916,56.55747,1.700402,1.0136156,60.34872,9.823612,3.23612,69.28816,0.5251852,26.92403,76.51607,14.50277,7.022723,26.77155,3.054258,30.6268
G306,27.18422,7.40217,2.238324,5.883117,75.18278,27.47147,8.771729,72.41572,50.7676,2.3572654,1.3113536,52.98703,12.666653,3.765169,78.59823,6.023095,34.89362,86.19096,13.76089,7.718465,31.21225,3.423666,31.19335
G307,21.69367,6.966526,2.104876,5.239637,78.74921,26.96259,18.546104,60.01907,47.63965,1.3678772,1.1738281,55.8897,10.995813,3.681201,59.66176,-0.5215796,29.90867,66.27712,13.4984,6.762045,30.07418,3.073892,30.31762
G308,23.62506,6.792624,1.688078,5.461225,79.43708,33.15031,22.535638,61.371,24.84651,0.9663521,0.9259269,59.26125,9.907056,2.837726,58.86259,-2.521044,27.93777,67.01774,14.7798,7.975993,28.97797,3.5934,34.40265
G309,21.1899,5.896027,1.61365,5.235935,79.03193,34.80283,6.539095,61.61217,25.83775,0.9441484,1.1040379,61.96387,9.251555,2.746799,60.95958,-1.06303,26.14994,68.7052,15.05521,7.584471,28.70579,3.3926,31.93216
G311,25.42234,6.5734,2.216023,5.68026,73.58404,30.10886,28.242708,60.54951,49.78843,1.8110398,1.1232687,56.75461,12.323249,3.695416,61.38769,1.512882,33.4813,67.94329,14.04592,6.004892,31.53581,3.389384,28.33304
G312,19.11717,3.456747,1.584421,4.952102,78.5394,38.21206,12.645669,64.58172,65.45579,2.5626936,0.7037014,64.01937,8.775408,2.759113,64.02402,0.09096873,24.6087,71.57538,16.01747,7.489881,32.67963,3.224855,25.52275
G313,21.71683,3.916662,1.661194,5.197135,72.52292,41.2863,11.536594,62.252,58.50583,2.0565353,1.0503363,58.67225,9.333156,2.73223,71.16402,9.14565,26.36999,77.18865,16.28083,6.273603,30.6735,3.523413,22.75779
G314,27.26724,6.298713,1.829906,5.85931,87.57584,31.54797,14.66545,72.16784,24.30728,1.187135,0.9605859,61.35262,11.241991,3.176351,82.61302,11.17378,31.10843,90.67234,14.82417,8.100538,33.93031,3.63271,35.42219
G315,23.40745,4.001513,1.70221,5.482038,69.43872,44.07344,13.378428,69.89163,60.46455,2.2647049,1.2681744,66.6597,10.040963,2.811777,85.48907,14.38251,28.27834,92.81427,16.7244,7.273057,30.93685,3.58388,25.89394
G316,23.26561,6.585124,2.00629,5.437904,73.31668,29.8946,11.679264,62.55988,49.38227,1.9617502,1.3030348,56.99152,11.095848,3.461452,67.77493,4.726665,30.17547,75.3731,14.04788,7.560303,32.08917,3.256369,30.71079
G317,15.57887,6.296801,1.581199,4.45576,75.86412,38.83584,30.318571,63.50187,51.7883,1.5077476,1.2370427,65.49386,7.859496,2.710043,66.93473,3.212751,21.83275,74.90506,15.85193,7.979988,27.43658,2.928936,30.08179
G318,23.43454,6.409441,1.706733,5.453394,72.78512,31.61797,11.155106,69.22206,23.82534,1.001108,1.0019258,59.87734,10.036997,2.96332,78.16181,9.179706,28.06439,86.33606,14.55098,8.132352,32.77473,3.44897,34.24619
