germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X90fe3244e792	Bread wheat	-	Repl-43	1504027-M0-1603016-M1-18070044-M0-20130009-M1-AN1	2100438	GWP2100438
X91152bb8c150	Durum wheat	GRS011-016	21260011	GRS011-016 1T-3A-0A-2M-1SEA	2101498	GWP2101498
X9142fac691a6	Bread wheat	GRSW170083	21120134	GRSW170083-M0-M0-M3-M2	2100513	GWP2100513
X91606b95995a	Bread wheat	-	Repl-48	1504049-M0-1603088-M2-18070089-M0-20130016-M2-AN1	2100443	GWP2100443
X9185401fdce9	Bread wheat	GRS18-7001	21120025	GRS18-7001-9SB-M1-M3	2100218	GWP2100218
X91a33c312dd3	Bread wheat	TCI19-7003	2111009	TCI19-7003-M1-M8	2100079	GWP2100079
X91cebcbcdb25	Durum wheat	GRS011-0276	21260408	GRS011-0276 1T-1A-0A-1M-2SEA	2101757	GWP2101757
X91d8eb4e2b7b	Bread wheat	GRSW170054	Repl-21	GRS18-7001-9SB-M3-AN1	2100357	GWP2100357
X91e0b52891a3	Durum wheat	GRS011-384	21140474	GRS011-384 1T-1A-0A-1M-1M	2101220	GWP2101220
X91ec369289a8	Bread wheat	GRS011-0276	21140401	GRS011-0276 1T-3A-0A-2M-2M	2101140	GWP2101140
X9238291820a9	Bread wheat	TCI19-7006	2111018	TCI19-7006-M3-M3	2100135	GWP2100135
X923923bd9699	Durum wheat	GRS011-0257	21260531	GRS011-0257 1T-1A-0A-2M-2SEA	2101803	GWP2101803
X925065d200c2	Durum wheat	GRS011-462	21140569	GRS011-462-2M-3M	2101413	GWP2101413
X92b416b7874e	Durum wheat	Louiza	-	-	2100846	GWP2100846
X92d58d0fe64a	Durum wheat	GRS011-465	21140557	GRS011-465 1T-3A-0A-1M-3M	2101367	GWP2101367
X9319ed972f79	Durum wheat	GRS011-0257	21140359	GRS011-0257-3M-1M	2101064	GWP2101064
X9323d5f52370	Durum wheat	GRS011-0264	21260385	GRS011-0264 1T-4A-0A-2M-3SEA	2101712	GWP2101712
X93480d5662a6	Durum wheat	GRS011-0181	21260203	GRS011-0181-3M-2SEA	2101565	GWP2101565
X9348e5f6adf5	Durum wheat	GRS011-0179	21140189	GRS011-0179 1T-1A-0A-1M-3M	2100783	GWP2100783
X9394f1e9305d	Triticum turgidum subsp. durum	141973	-	-	2101861	GWP2101861
X93a9ac5adcae	Durum wheat	GRS011-0255	21260343	GRS011-0255-3M-3SEA	2101659	GWP2101659
X93c5e5612c53	Durum wheat	GRS011-462	21260568	GRS011-462-1M-1SEA	2101835	GWP2101835
X94157b14108a	Durum wheat	GRS011-0104	21140103	GRS011-0104 1T-2A-0A-1M-1M	2100701	GWP2100701
